127.0.0.1 - - [20/May/2024:13:41:20 -0400] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [20/May/2024:13:41:21 -0400] "GET /Tareas/ HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [20/May/2024:13:41:26 -0400] "GET /Tareas/Home HTTP/1.1" 500 7168
0:0:0:0:0:0:0:1 - - [20/May/2024:13:45:22 -0400] "GET /Tareas/Home HTTP/1.1" 500 7168
0:0:0:0:0:0:0:1 - - [20/May/2024:13:46:06 -0400] "GET /Tareas/Home HTTP/1.1" 500 7204
0:0:0:0:0:0:0:1 - - [20/May/2024:13:47:23 -0400] "GET /Tareas/Home HTTP/1.1" 500 7168
0:0:0:0:0:0:0:1 - - [20/May/2024:13:47:24 -0400] "GET /Tareas/Home HTTP/1.1" 500 3640
0:0:0:0:0:0:0:1 - - [20/May/2024:13:47:25 -0400] "GET /Tareas/Home HTTP/1.1" 500 3640
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:07 -0400] "GET /Tareas/Home HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:17 -0400] "POST /Tareas/Home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:17 -0400] "GET /Tareas/Home HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:34 -0400] "GET /Tareas/CheckearTarea?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:34 -0400] "GET /Tareas/Home HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:55 -0400] "GET /Tareas/GestionTarea?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2024:13:48:55 -0400] "GET /Tareas/Home HTTP/1.1" 200 2898
